time,OPENET_ID,SWU_ID,et,acres,acre-feet
2021-10-01,ORx_25334,SWU_UMAT0013,1.47,4.965,0.608
2021-10-01,ORx_25179,SWU_UMAT0013,1.456,0.958,0.116
2021-10-01,ORx_25338,SWU_UMAT0013,1.522,4.24,0.538
2021-10-01,ORx_25362,SWU_UMAT0012,2.043,3.67,0.625
2021-10-01,ORx_24912,SWU_UMAT0008,2.882,2.562,0.615
2021-10-01,ORx_24915,SWU_UMAT0008,2.439,9.296,1.889
2021-11-01,ORx_25334,SWU_UMAT0013,0.413,4.965,0.171
2021-11-01,ORx_25179,SWU_UMAT0013,0.215,0.958,0.017
2021-11-01,ORx_25338,SWU_UMAT0013,0.589,4.24,0.208
2021-11-01,ORx_25362,SWU_UMAT0012,0.243,3.67,0.074
2021-11-01,ORx_24912,SWU_UMAT0008,0.977,2.562,0.209
2021-11-01,ORx_24915,SWU_UMAT0008,0.621,9.296,0.481
2021-12-01,ORx_25334,SWU_UMAT0013,0.577,4.965,0.239
2021-12-01,ORx_25179,SWU_UMAT0013,0.113,0.958,0.009
2021-12-01,ORx_25338,SWU_UMAT0013,0.882,4.24,0.312
2021-12-01,ORx_25362,SWU_UMAT0012,0.243,3.67,0.074
2021-12-01,ORx_24912,SWU_UMAT0008,0.689,2.562,0.147
2021-12-01,ORx_24915,SWU_UMAT0008,0.433,9.296,0.335
2022-01-01,ORx_25334,SWU_UMAT0013,0.234,4.965,0.097
2022-01-01,ORx_25179,SWU_UMAT0013,0.116,0.958,0.009
2022-01-01,ORx_25338,SWU_UMAT0013,0.278,4.24,0.098
2022-01-01,ORx_25362,SWU_UMAT0012,0.074,3.67,0.023
2022-01-01,ORx_24912,SWU_UMAT0008,0.468,2.562,0.1
2022-01-01,ORx_24915,SWU_UMAT0008,0.411,9.296,0.318
2022-02-01,ORx_25334,SWU_UMAT0013,0.443,4.965,0.183
2022-02-01,ORx_25179,SWU_UMAT0013,0.259,0.958,0.021
2022-02-01,ORx_25338,SWU_UMAT0013,0.51,4.24,0.18
2022-02-01,ORx_25362,SWU_UMAT0012,0.152,3.67,0.046
2022-02-01,ORx_24912,SWU_UMAT0008,0.982,2.562,0.21
2022-02-01,ORx_24915,SWU_UMAT0008,0.91,9.296,0.705
2022-03-01,ORx_25334,SWU_UMAT0013,1.024,4.965,0.424
2022-03-01,ORx_25179,SWU_UMAT0013,0.876,0.958,0.07
2022-03-01,ORx_25338,SWU_UMAT0013,1.226,4.24,0.433
2022-03-01,ORx_25362,SWU_UMAT0012,1.01,3.67,0.309
2022-03-01,ORx_24912,SWU_UMAT0008,1.933,2.562,0.413
2022-03-01,ORx_24915,SWU_UMAT0008,1.608,9.296,1.246
2022-04-01,ORx_25334,SWU_UMAT0013,0.559,4.965,0.231
2022-04-01,ORx_25179,SWU_UMAT0013,0.471,0.958,0.038
2022-04-01,ORx_25338,SWU_UMAT0013,0.591,4.24,0.209
2022-04-01,ORx_25362,SWU_UMAT0012,0.404,3.67,0.124
2022-04-01,ORx_24912,SWU_UMAT0008,1.636,2.562,0.349
2022-04-01,ORx_24915,SWU_UMAT0008,1.531,9.296,1.186
2022-05-01,ORx_25334,SWU_UMAT0013,2.023,4.965,0.837
2022-05-01,ORx_25179,SWU_UMAT0013,1.683,0.958,0.134
