time,OPENET_ID,SWU_ID,et,acres,acre-feet
2021-10-01,ORx_25334,SWU_UMAT0013,1.803,4.965,0.746
2021-10-01,ORx_25179,SWU_UMAT0013,1.837,0.958,0.147
2021-10-01,ORx_25338,SWU_UMAT0013,1.784,4.24,0.63
2021-10-01,ORx_25362,SWU_UMAT0012,1.824,3.67,0.558
2021-10-01,ORx_24912,SWU_UMAT0008,2.276,2.562,0.486
2021-10-01,ORx_24915,SWU_UMAT0008,1.944,9.296,1.506
2021-11-01,ORx_25334,SWU_UMAT0013,0.663,4.965,0.274
2021-11-01,ORx_25179,SWU_UMAT0013,0.708,0.958,0.057
2021-11-01,ORx_25338,SWU_UMAT0013,0.712,4.24,0.252
2021-11-01,ORx_25362,SWU_UMAT0012,0.303,3.67,0.093
2021-11-01,ORx_24912,SWU_UMAT0008,1.046,2.562,0.223
2021-11-01,ORx_24915,SWU_UMAT0008,0.851,9.296,0.659
2021-12-01,ORx_25334,SWU_UMAT0013,0.793,4.965,0.328
2021-12-01,ORx_25179,SWU_UMAT0013,0.234,0.958,0.019
2021-12-01,ORx_25338,SWU_UMAT0013,0.86,4.24,0.304
2021-12-01,ORx_25362,SWU_UMAT0012,0.66,3.67,0.202
2021-12-01,ORx_24912,SWU_UMAT0008,0.582,2.562,0.124
2021-12-01,ORx_24915,SWU_UMAT0008,0.477,9.296,0.37
2022-01-01,ORx_25334,SWU_UMAT0013,0.599,4.965,0.248
2022-01-01,ORx_25179,SWU_UMAT0013,0.581,0.958,0.046
2022-01-01,ORx_25338,SWU_UMAT0013,0.608,4.24,0.215
2022-01-01,ORx_25362,SWU_UMAT0012,0.52,3.67,0.159
2022-01-01,ORx_24912,SWU_UMAT0008,0.576,2.562,0.123
2022-01-01,ORx_24915,SWU_UMAT0008,0.563,9.296,0.436
2022-02-01,ORx_25334,SWU_UMAT0013,1.229,4.965,0.508
2022-02-01,ORx_25179,SWU_UMAT0013,1.18,0.958,0.094
2022-02-01,ORx_25338,SWU_UMAT0013,1.249,4.24,0.441
2022-02-01,ORx_25362,SWU_UMAT0012,1.042,3.67,0.319
2022-02-01,ORx_24912,SWU_UMAT0008,1.015,2.562,0.217
2022-02-01,ORx_24915,SWU_UMAT0008,1.05,9.296,0.813
2022-03-01,ORx_25334,SWU_UMAT0013,2.141,4.965,0.886
2022-03-01,ORx_25179,SWU_UMAT0013,2.13,0.958,0.17
2022-03-01,ORx_25338,SWU_UMAT0013,2.246,4.24,0.794
2022-03-01,ORx_25362,SWU_UMAT0012,2.114,3.67,0.647
2022-03-01,ORx_24912,SWU_UMAT0008,2.002,2.562,0.427
2022-03-01,ORx_24915,SWU_UMAT0008,2.048,9.296,1.587
2022-04-01,ORx_25334,SWU_UMAT0013,2.254,4.965,0.933
2022-04-01,ORx_25179,SWU_UMAT0013,2.246,0.958,0.179
2022-04-01,ORx_25338,SWU_UMAT0013,2.302,4.24,0.813
2022-04-01,ORx_25362,SWU_UMAT0012,2.154,3.67,0.659
2022-04-01,ORx_24912,SWU_UMAT0008,2.597,2.562,0.554
2022-04-01,ORx_24915,SWU_UMAT0008,2.522,9.296,1.954
2022-05-01,ORx_25334,SWU_UMAT0013,4.399,4.965,1.82
2022-05-01,ORx_25179,SWU_UMAT0013,4.44,0.958,0.354
2022-05-01,ORx_25338,SWU_UMAT0013,4.338,4.24,1.533
2022-05-01,ORx_25362,SWU_UMAT0012,4.15,3.67,1.269
2022-05-01,ORx_24912,SWU_UMAT0008,4.143,2.562,0.885
2022-05-01,ORx_24915,SWU_UMAT0008,4.594,9.296,3.559
2022-06-01,ORx_25334,SWU_UMAT0013,5.46,4.965,2.259
2022-06-01,ORx_25179,SWU_UMAT0013,5.642,0.958,0.45
2022-06-01,ORx_25338,SWU_UMAT0013,5.172,4.24,1.827
2022-06-01,ORx_25362,SWU_UMAT0012,5.425,3.67,1.659
2022-06-01,ORx_24912,SWU_UMAT0008,4.624,2.562,0.987
2022-06-01,ORx_24915,SWU_UMAT0008,5.223,9.296,4.046
2022-07-01,ORx_25334,SWU_UMAT0013,6.632,4.965,2.744
2022-07-01,ORx_25179,SWU_UMAT0013,6.9,0.958,0.551
2022-07-01,ORx_25338,SWU_UMAT0013,6.446,4.24,2.278
2022-07-01,ORx_25362,SWU_UMAT0012,6.45,3.67,1.973
2022-07-01,ORx_24912,SWU_UMAT0008,6.176,2.562,1.319
2022-07-01,ORx_24915,SWU_UMAT0008,6.632,9.296,5.138
2022-08-01,ORx_25334,SWU_UMAT0013,6.57,4.965,2.718
2022-08-01,ORx_25179,SWU_UMAT0013,6.798,0.958,0.543
2022-08-01,ORx_25338,SWU_UMAT0013,6.393,4.24,2.259
2022-08-01,ORx_25362,SWU_UMAT0012,6.589,3.67,2.015
2022-08-01,ORx_24912,SWU_UMAT0008,6.162,2.562,1.316
2022-08-01,ORx_24915,SWU_UMAT0008,5.847,9.296,4.529
2022-09-01,ORx_25334,SWU_UMAT0013,4.034,4.965,1.669
2022-09-01,ORx_25179,SWU_UMAT0013,4.095,0.958,0.327
2022-09-01,ORx_25338,SWU_UMAT0013,3.815,4.24,1.348
2022-09-01,ORx_25362,SWU_UMAT0012,3.968,3.67,1.214
2022-09-01,ORx_24912,SWU_UMAT0008,3.666,2.562,0.783
2022-09-01,ORx_24915,SWU_UMAT0008,3.309,9.296,2.563
2022-10-01,ORx_25334,SWU_UMAT0013,2.138,4.965,0.885
2022-10-01,ORx_25179,SWU_UMAT0013,2.081,0.958,0.166
2022-10-01,ORx_25338,SWU_UMAT0013,1.994,4.24,0.705
2022-10-01,ORx_25362,SWU_UMAT0012,1.887,3.67,0.577
2022-10-01,ORx_24912,SWU_UMAT0008,2.037,2.562,0.435
2022-10-01,ORx_24915,SWU_UMAT0008,1.534,9.296,1.188
2022-11-01,ORx_25334,SWU_UMAT0013,0.466,4.965,0.193
2022-11-01,ORx_25179,SWU_UMAT0013,0.488,0.958,0.039
2022-11-01,ORx_25338,SWU_UMAT0013,0.463,4.24,0.164
2022-11-01,ORx_25362,SWU_UMAT0012,0.283,3.67,0.087
2022-11-01,ORx_24912,SWU_UMAT0008,0.462,2.562,0.099
2022-11-01,ORx_24915,SWU_UMAT0008,0.452,9.296,0.35
2022-12-01,ORx_25334,SWU_UMAT0013,0.345,4.965,0.143
2022-12-01,ORx_25179,SWU_UMAT0013,0.36,0.958,0.029
2022-12-01,ORx_25338,SWU_UMAT0013,0.333,4.24,0.118
2022-12-01,ORx_25362,SWU_UMAT0012,0.096,3.67,0.029
2022-12-01,ORx_24912,SWU_UMAT0008,0.27,2.562,0.058
2022-12-01,ORx_24915,SWU_UMAT0008,0.324,9.296,0.251
2023-01-01,ORx_25334,SWU_UMAT0013,0.505,4.965,0.209
2023-01-01,ORx_25179,SWU_UMAT0013,0.528,0.958,0.042
2023-01-01,ORx_25338,SWU_UMAT0013,0.481,4.24,0.17
2023-01-01,ORx_25362,SWU_UMAT0012,0.212,3.67,0.065
2023-01-01,ORx_24912,SWU_UMAT0008,0.45,2.562,0.096
2023-01-01,ORx_24915,SWU_UMAT0008,0.551,9.296,0.427
2023-02-01,ORx_25334,SWU_UMAT0013,0.683,4.965,0.283
2023-02-01,ORx_25179,SWU_UMAT0013,0.702,0.958,0.056
2023-02-01,ORx_25338,SWU_UMAT0013,0.735,4.24,0.26
2023-02-01,ORx_25362,SWU_UMAT0012,0.514,3.67,0.157
2023-02-01,ORx_24912,SWU_UMAT0008,0.672,2.562,0.143
2023-02-01,ORx_24915,SWU_UMAT0008,0.582,9.296,0.451
2023-03-01,ORx_25334,SWU_UMAT0013,1.588,4.965,0.657
