time,OPENET_ID,sims_et,gridmet_pr,landsat_ndvi,sims_etof,eemetric_et,eemetric_etof,ensemble_et,ensemble_etof
2022-05-01,ORx_24912,4.434,2.909,0.679,1.042,3.213,0.755,4.145,0.974
2022-05-01,ORx_24915,4.616,2.909,0.816,1.084,3.745,0.88,4.595,1.079
2022-05-01,ORx_25179,4.777,3.61,0.741,1.13,1.689,0.399,4.441,1.05
2022-05-01,ORx_25334,4.792,3.61,0.781,1.133,2.024,0.479,4.399,1.04
2022-05-01,ORx_25338,4.794,3.61,0.78,1.134,1.732,0.41,4.337,1.026
2022-05-01,ORx_25362,4.822,3.61,0.826,1.14,2.145,0.507,4.15,0.981
2022-06-01,ORx_25362,6.265,2.685,0.855,1.128,3.352,0.603,5.426,0.977
2022-06-01,ORx_24912,5.329,2.728,0.672,0.955,3.585,0.642,4.629,0.829
2022-06-01,ORx_25338,6.236,2.685,0.824,1.122,2.831,0.51,5.171,0.931
2022-06-01,ORx_25334,6.215,2.685,0.826,1.119,2.825,0.508,5.461,0.983
2022-06-01,ORx_25179,6.217,2.685,0.81,1.119,3.27,0.589,5.644,1.016
2022-06-01,ORx_24915,5.558,2.728,0.784,0.996,4.122,0.738,5.224,0.936
2022-07-01,ORx_24912,6.092,0.268,0.598,0.809,5.692,0.756,6.18,0.82
2022-07-01,ORx_25362,8.381,0.28,0.802,1.096,5.458,0.714,6.45,0.843
2022-07-01,ORx_25338,8.394,0.28,0.802,1.097,4.867,0.636,6.444,0.842
2022-07-01,ORx_25334,8.422,0.28,0.82,1.101,4.544,0.594,6.633,0.867
2022-07-01,ORx_25179,8.431,0.28,0.814,1.102,5.229,0.684,6.905,0.903
2022-07-01,ORx_24915,7.06,0.268,0.728,0.937,6.13,0.814,6.632,0.88
2022-08-01,ORx_25362,7.849,0.453,0.799,1.097,6.1,0.853,6.589,0.921
2022-08-01,ORx_25338,7.785,0.453,0.769,1.088,4.815,0.673,6.391,0.893
2022-08-01,ORx_25334,7.828,0.453,0.799,1.094,4.878,0.682,6.571,0.918
2022-08-01,ORx_25179,7.819,0.453,0.783,1.093,5.006,0.7,6.804,0.951
2022-08-01,ORx_24915,6.443,0.528,0.701,0.912,5.667,0.802,5.848,0.828
2022-08-01,ORx_24912,6.368,0.528,0.689,0.901,6.05,0.856,6.161,0.872
2022-09-01,ORx_25179,4.876,0.193,0.765,1.087,2.898,0.646,4.097,0.913
2022-09-01,ORx_25362,4.927,0.193,0.794,1.098,3.876,0.864,3.967,0.884
2022-09-01,ORx_25338,4.863,0.193,0.759,1.084,2.892,0.645,3.815,0.85
2022-09-01,ORx_25334,4.9,0.193,0.789,1.092,3.067,0.684,4.035,0.899
2022-09-01,ORx_24915,3.735,0.165,0.626,0.852,3.462,0.79,3.31,0.755
2022-09-01,ORx_24912,3.705,0.165,0.631,0.846,3.778,0.862,3.665,0.836
2022-10-01,ORx_24912,2.383,2.358,0.628,0.916,1.954,0.751,2.038,0.783
