time,OPENET_ID,SWU_ID,pr,acres,acre-feet
2021-10-01,ORx_25334,SWU_UMAT0013,2.079,4.965,0.86
2021-10-01,ORx_25179,SWU_UMAT0013,2.079,0.958,0.166
2021-10-01,ORx_25338,SWU_UMAT0013,2.079,4.24,0.735
2021-10-01,ORx_25362,SWU_UMAT0012,2.079,3.67,0.636
2021-10-01,ORx_24912,SWU_UMAT0008,2.311,2.562,0.493
2021-10-01,ORx_24915,SWU_UMAT0008,2.311,9.296,1.79
2021-11-01,ORx_25334,SWU_UMAT0013,2.087,4.965,0.863
2021-11-01,ORx_25179,SWU_UMAT0013,2.087,0.958,0.167
2021-11-01,ORx_25338,SWU_UMAT0013,2.087,4.24,0.737
2021-11-01,ORx_25362,SWU_UMAT0012,2.087,3.67,0.638
2021-11-01,ORx_24912,SWU_UMAT0008,2.028,2.562,0.433
2021-11-01,ORx_24915,SWU_UMAT0008,2.028,9.296,1.571
2021-12-01,ORx_25334,SWU_UMAT0013,2.409,4.965,0.997
2021-12-01,ORx_25179,SWU_UMAT0013,2.409,0.958,0.192
2021-12-01,ORx_25338,SWU_UMAT0013,2.409,4.24,0.851
2021-12-01,ORx_25362,SWU_UMAT0012,2.409,3.67,0.737
2021-12-01,ORx_24912,SWU_UMAT0008,2.5,2.562,0.534
2021-12-01,ORx_24915,SWU_UMAT0008,2.5,9.296,1.937
2022-01-01,ORx_25334,SWU_UMAT0013,1.488,4.965,0.616
2022-01-01,ORx_25179,SWU_UMAT0013,1.488,0.958,0.119
2022-01-01,ORx_25338,SWU_UMAT0013,1.488,4.24,0.526
2022-01-01,ORx_25362,SWU_UMAT0012,1.488,3.67,0.455
2022-01-01,ORx_24912,SWU_UMAT0008,1.496,2.562,0.319
2022-01-01,ORx_24915,SWU_UMAT0008,1.496,9.296,1.159
2022-02-01,ORx_25334,SWU_UMAT0013,0.752,4.965,0.311
2022-02-01,ORx_25179,SWU_UMAT0013,0.752,0.958,0.06
2022-02-01,ORx_25338,SWU_UMAT0013,0.752,4.24,0.266
2022-02-01,ORx_25362,SWU_UMAT0012,0.752,3.67,0.23
2022-02-01,ORx_24912,SWU_UMAT0008,0.469,2.562,0.1
2022-02-01,ORx_24915,SWU_UMAT0008,0.469,9.296,0.363
2022-03-01,ORx_25334,SWU_UMAT0013,1.327,4.965,0.549
2022-03-01,ORx_25179,SWU_UMAT0013,1.327,0.958,0.106
2022-03-01,ORx_25338,SWU_UMAT0013,1.327,4.24,0.469
2022-03-01,ORx_25362,SWU_UMAT0012,1.327,3.67,0.406
2022-03-01,ORx_24912,SWU_UMAT0008,1.28,2.562,0.273
2022-03-01,ORx_24915,SWU_UMAT0008,1.28,9.296,0.992
2022-04-01,ORx_25334,SWU_UMAT0013,2.555,4.965,1.057
2022-04-01,ORx_25179,SWU_UMAT0013,2.555,0.958,0.204
2022-04-01,ORx_25338,SWU_UMAT0013,2.555,4.24,0.903
2022-04-01,ORx_25362,SWU_UMAT0012,2.555,3.67,0.781
2022-04-01,ORx_24912,SWU_UMAT0008,2.299,2.562,0.491
2022-04-01,ORx_24915,SWU_UMAT0008,2.299,9.296,1.781
2022-05-01,ORx_25334,SWU_UMAT0013,3.61,4.965,1.494
2022-05-01,ORx_25179,SWU_UMAT0013,3.61,0.958,0.288
2022-05-01,ORx_25338,SWU_UMAT0013,3.61,4.24,1.276
2022-05-01,ORx_25362,SWU_UMAT0012,3.61,3.67,1.104
2022-05-01,ORx_24912,SWU_UMAT0008,2.909,2.562,0.621
2022-05-01,ORx_24915,SWU_UMAT0008,2.909,9.296,2.254
2022-06-01,ORx_25334,SWU_UMAT0013,2.685,4.965,1.111
2022-06-01,ORx_25179,SWU_UMAT0013,2.685,0.958,0.214
2022-06-01,ORx_25338,SWU_UMAT0013,2.685,4.24,0.949
2022-06-01,ORx_25362,SWU_UMAT0012,2.685,3.67,0.821
