time,OPENET_ID,SWU_ID,et,acres,acre-feet
2021-10-01,ORx_25334,SWU_UMAT0013,2.889,4.965,1.195
2021-10-01,ORx_25179,SWU_UMAT0013,2.879,0.958,0.23
2021-10-01,ORx_25338,SWU_UMAT0013,2.838,4.24,1.003
2021-10-01,ORx_25362,SWU_UMAT0012,2.913,3.67,0.891
2021-10-01,ORx_24912,SWU_UMAT0008,2.423,2.562,0.517
2021-10-01,ORx_24915,SWU_UMAT0008,2.187,9.296,1.694
2021-11-01,ORx_25334,SWU_UMAT0013,2.039,4.965,0.844
2021-11-01,ORx_25179,SWU_UMAT0013,2.047,0.958,0.163
2021-11-01,ORx_25338,SWU_UMAT0013,2.03,4.24,0.717
2021-11-01,ORx_25362,SWU_UMAT0012,2.047,3.67,0.626
2021-11-01,ORx_24912,SWU_UMAT0008,1.755,2.562,0.375
2021-11-01,ORx_24915,SWU_UMAT0008,1.721,9.296,1.333
2021-12-01,ORx_25334,SWU_UMAT0013,0.996,4.965,0.412
2021-12-01,ORx_25179,SWU_UMAT0013,1.013,0.958,0.081
2021-12-01,ORx_25338,SWU_UMAT0013,0.986,4.24,0.348
2021-12-01,ORx_25362,SWU_UMAT0012,1.054,3.67,0.322
2021-12-01,ORx_24912,SWU_UMAT0008,1.007,2.562,0.215
2021-12-01,ORx_24915,SWU_UMAT0008,1.002,9.296,0.776
2022-01-01,ORx_25334,SWU_UMAT0013,0.601,4.965,0.249
2022-01-01,ORx_25179,SWU_UMAT0013,0.919,0.958,0.073
2022-01-01,ORx_25338,SWU_UMAT0013,0.587,4.24,0.207
2022-01-01,ORx_25362,SWU_UMAT0012,0.654,3.67,0.2
2022-01-01,ORx_24912,SWU_UMAT0008,0.807,2.562,0.172
2022-01-01,ORx_24915,SWU_UMAT0008,0.802,9.296,0.621
2022-02-01,ORx_25334,SWU_UMAT0013,1.378,4.965,0.57
2022-02-01,ORx_25179,SWU_UMAT0013,1.468,0.958,0.117
2022-02-01,ORx_25338,SWU_UMAT0013,1.461,4.24,0.516
